id_question,answer
TE,"
Airbnb collects personal information from its users to provide its platform services. Without this information, the company might not be able to deliver all requested services. The collected data includes:

Contact, Account, and Profile Information: This encompasses data like your first name, last name, phone number, postal address, email address, date of birth, and profile photo. The exact data collected can vary depending on the features you use on the Airbnb platform.

Identity Verification and Payment Information: To verify user identities and process transactions, Airbnb collects images of your government-issued ID (where permitted by law), your ID number or other verification information, a selfie when verifying your ID, and your bank account or payment account information. Reference Part 1"
TM,"
Airbnb may disclose your personal information under certain circumstances. This includes sharing data with courts, law enforcement agencies, governmental or public authorities, tax authorities, authorized third parties, or other Airbnb members. This disclosure is only done when it is required or permitted by law or when the disclosure is reasonably necessary. This could be for legal compliance, the enforcement of Airbnb's agreements or policies, or the protection of Airbnb's rights or property, or the rights or safety of others. Refernce Part 4"
TH,No information provided . Reference: N/A
UCE,"Airbnb provides users with the ability to access and update some of their personal information via their Account settings. This means that while you have control over certain personal data, there may be some information that you cannot directly access or update through your Account. For such cases, you might have to reach out to Airbnb's support services for assistance. PART 4"
UCM,"Airbnb mentions the possibility of data erasure, acknowledging that in some jurisdictions users can request the deletion of their personal data. However, no clear mechanism or process is provided on how to do so. Further, it's noted that even if a user requests data deletion, or if an account is suspended, terminated, or voluntarily closed, Airbnb may retain some personal information. This retention is justified as necessary for Airbnb's legitimate business interests, which include the prevention of money laundering, fraud detection and prevention, and enhancing safety. Part 4"
UCH,"The company allows users to manage their public profile and content visibility on third-party sites, platforms, and apps. It also indicates that users can opt out of having their information indexed by third-party search engines through their account settings. However, it does not explicitly outline the process for the withdrawal of consent once given. Part 4"
DME,"Airbnb does not provide a specific timeline for retaining your personal information. The company states that it may keep your personal data as long as necessary for their legitimate business interests. These interests include the prevention of money laundering, fraud detection and prevention, and enhancing safety. However, the exact duration of data retention is not clarified in this statement. Part 4"
DMM,No information provided. Reference : N/A
DMH,No information provided. Reference : N/A
SEE,"
There is no explicit mention of the use of end-to-end encryption in the provided text. This suggests that Airbnb does not publicly specify whether they use end-to-end encryption to protect user data or not in this part of their policy. Reference : N/A"
SEM,"Airbnb states that it is continuously implementing and updating administrative, technical, and physical security measures to help protect user information against unlawful or unauthorized access, loss, destruction, or alteration. However, the platform does not provide specific details or mention certain technologies or methods like end-to-end encryption, two-factor authentication, etc., that are commonly used for data protection. This means Airbnb confirms the adoption of multiple layers of security measures but does not clarify what these measures exactly are in the provided text. Part 4"
SEH,No information provided. Reference:N/A
PDE,No information provided. Reference:N/A
PDM,No information provided. Reference:N/A
PDH,"Yes, Airbnb uses automated decision-making and profiling in its operations. These processes involve collecting and analyzing personal data to make decisions or predictions about individuals. Part 3"
RCE,"Airbnb does not explicitly state that it regularly updates its privacy policy. However, if there are updates or changes to the policy, they assure that they will communicate these to the users. N/A"
RCM,"
Airbnb has provided several avenues to contact them with queries or complaints about their privacy policy or their handling of personal data. For users residing in the United States, they can reach out to Airbnb, Inc., Legal Privacy, at 888 Brannan Street, San Francisco, CA 94103, USA. Alternatively, they can also email Airbnb at dpo@airbnb.com or call their toll-free number, (844) 234-2500. For matters related to payments, users should refer to the contact information provided on the Payments Terms of Service page. For users residing outside the United States, they are directed to use the contact information for their controller, as provided on the 'Outside of the United States' page. Part 4"
RCH,"
The policy does not mention that Airbnb publishes transparency reports detailing government data requests, surveillance, or law enforcement interactions. Reference : N/A"
AEEE,No information provided. Reference: N/A
AEEM,"The policy implies that user data privacy preferences are managed uniformly across all devices or platforms. As long as a user is utilizing Airbnb services, whether it be on a mobile device, desktop, or through a third-party platform, the same privacy policy applies. However, the policy does not explicitly describe how preferences are synchronized or managed across different devices or platforms. Part 3"
AEEH,"The policy does not mention the provision of any user-friendly resources, such as tutorials or guides, to help users effectively manage their privacy settings or understand their data rights. Reference: N/A"
CAE,"Yes, the policy states that users can exercise any of the rights described in their section consistent with applicable law. There is a section that provides information on data subject rights requests and how to submit a request. They may ask users to verify their identity and request before taking further action. Information on rights under the General Data Protection Regulation (GDPR) and the Brazil General Data Protection Law (""LGPD"") is also provided. Part 4"
CAM,No information provided. Reference: N/A
CAH,"There is no specific process outlined for reporting and addressing privacy violations or non-compliance issues, both internally and with third-party vendors. Reference: N/A"
